Date,Close,Open,High,Low,Volumn,Percent Change
2022-12-16,23.00,23.00,23.40,22.85,2.22M,-0.86%
2022-12-15,23.20,23.00,23.50,23.00,4.11M,0.22%
2022-12-14,23.15,23.10,23.45,22.75,3.29M,0.43%
2022-12-13,23.05,22.40,23.05,22.25,2.69M,2.44%
2022-12-12,22.50,23.05,23.30,22.50,3.18M,-2.39%
2022-12-09,23.05,22.75,23.20,22.45,3.32M,1.77%
2022-12-08,22.65,22.45,23.80,22.10,4.79M,1.57%
2022-12-07,22.30,22.50,22.50,21.75,3.29M,0.00%
2022-12-06,22.30,23.60,23.75,22.30,5.16M,-5.51%
2022-12-05,23.60,23.55,24.00,23.20,4.71M,0.43%
2022-12-02,23.50,22.50,23.50,22.15,4.79M,4.44%
2022-12-01,22.50,22.30,22.85,22.00,6.81M,1.81%
2022-11-30,22.10,22.25,22.45,21.80,4.12M,-0.23%
2022-11-29,22.15,22.25,22.25,21.70,3.94M,-0.45%
2022-11-28,22.25,21.60,22.25,21.55,5.24M,3.49%
