Date,Close,Open,High,Low,Volumn,Percent Change
2022-12-16,28.05,27.75,28.25,27.75,3.22M,-0.71%
2022-12-15,28.25,27.90,28.25,27.90,3.53M,1.25%
2022-12-14,27.90,28.40,28.45,27.85,2.42M,-0.89%
2022-12-13,28.15,27.30,28.20,27.10,3.91M,2.55%
2022-12-12,27.45,28.00,28.20,27.45,3.85M,-2.14%
2022-12-09,28.05,27.80,28.05,27.05,4.99M,0.90%
2022-12-08,27.80,27.60,28.90,27.40,5.28M,1.65%
2022-12-07,27.35,26.90,27.80,26.75,4.10M,1.30%
2022-12-06,27.00,28.10,28.60,26.85,7.66M,-5.59%
2022-12-05,28.60,28.50,28.60,27.80,7.69M,2.33%
2022-12-02,27.95,26.30,27.95,26.05,8.94M,6.88%
2022-12-01,26.15,27.35,27.70,26.00,10.77M,-4.04%
2022-11-30,27.25,27.05,28.00,26.65,6.37M,-0.55%
2022-11-29,27.40,27.00,27.40,26.10,9.67M,0.37%
2022-11-28,27.30,26.10,27.45,26.10,11.09M,5.81%
