Date,Close,Open,High,Low,Volumn,Percent Change
2022-12-16,18.80,18.70,19.10,18.70,11.67M,-0.79%
2022-12-15,18.95,18.00,19.20,18.00,24.16M,4.41%
2022-12-14,18.15,18.35,18.40,18.00,10.44M,0.83%
2022-12-13,18.00,17.75,18.00,17.50,7.97M,1.69%
2022-12-12,17.70,18.20,18.40,17.65,12.47M,-2.75%
2022-12-09,18.20,18.20,18.30,17.75,9.43M,0.55%
2022-12-08,18.10,17.70,18.50,17.55,13.81M,4.62%
2022-12-07,17.30,17.65,17.90,17.25,12.15M,-2.26%
2022-12-06,17.70,19.00,19.05,17.70,22.07M,-6.84%
2022-12-05,19.00,19.00,19.30,18.75,19.93M,1.06%
2022-12-02,18.80,17.80,18.80,17.55,16.33M,5.62%
2022-12-01,17.80,17.70,18.40,17.45,27.68M,2.30%
2022-11-30,17.40,17.30,17.55,16.95,13.19M,1.16%
2022-11-29,17.20,17.20,17.45,16.80,15.13M,0.00%
2022-11-28,17.20,16.45,17.20,16.40,15.45M,6.17%
