Date,Close,Open,High,Low,Volumn,Percent Change
2022-12-16,79.70,79.50,82.90,78.90,3.16M,0.25%
2022-12-15,79.50,78.80,80.70,78.60,1.25M,0.89%
2022-12-14,78.80,79.70,79.70,78.50,1.08M,0.77%
2022-12-13,78.20,78.10,79.30,77.90,2.23M,1.03%
2022-12-12,77.40,78.80,80.50,77.40,2.10M,0.13%
2022-12-09,77.30,78.40,79.20,77.10,1.68M,0.39%
2022-12-08,77.00,79.00,81.00,77.00,2.11M,-1.91%
2022-12-07,78.50,80.00,82.00,78.00,1.46M,-1.88%
2022-12-06,80.00,85.00,85.20,80.00,1.31M,-5.88%
2022-12-05,85.00,84.10,87.00,82.50,1.66M,0.00%
2022-12-02,85.00,79.90,85.00,79.30,1.24M,6.25%
2022-12-01,80.00,80.90,81.40,79.20,1.18M,-1.23%
2022-11-30,81.00,80.30,81.00,77.00,1.32M,1.50%
2022-11-29,79.80,76.00,79.80,76.00,1.71M,4.04%
2022-11-28,76.70,74.50,77.00,73.80,1.34M,4.92%
