Date,Close,Open,High,Low,Volumn,Percent Change
12/21/2022,"1,033.10","1,041.05","1,041.65","1,011.90",0.21M,0.32%
12/20/2022,"1,029.79","1,048.17","1,049.39","1,015.66",0.28M,-1.95%
12/19/2022,"1,050.22","1,063.72","1,081.55","1,050.22",0.26M,-1.30%
12/16/2022,"1,064.07","1,061.58","1,077.27","1,058.88",0.25M,-0.38%
12/15/2022,"1,068.08","1,055.80","1,076.03","1,055.49",0.25M,1.13%
12/14/2022,"1,056.17","1,056.76","1,071.02","1,052.25",0.19M,-0.02%
12/13/2022,"1,056.43","1,038.63","1,056.43","1,028.37",0.24M,1.83%
12/12/2022,"1,037.42","1,071.27","1,073.44","1,037.42",0.22M,-2.60%
12/9/2022,"1,065.08","1,069.38","1,076.67","1,051.62",0.24M,0.22%
12/8/2022,"1,062.73","1,061.99","1,093.64","1,055.63",0.30M,1.45%
12/7/2022,"1,047.58","1,051.55","1,064.73","1,037.15",0.24M,-0.61%
12/6/2022,"1,054.06","1,109.50","1,109.50","1,054.06",0.41M,-5.12%
12/5/2022,"1,110.94","1,094.39","1,120.56","1,094.39",0.38M,1.64%
12/2/2022,"1,092.99","1,038.11","1,092.99","1,037.08",0.33M,4.83%
12/1/2022,"1,042.64","1,059.80","1,073.32","1,040.95",0.43M,-0.63%
11/30/2022,"1,049.21","1,034.78","1,049.21","1,018.59",0.26M,1.96%
11/29/2022,"1,029.04","1,007.58","1,029.04",995.12,0.37M,2.46%
11/28/2022,"1,004.34",974.42,"1,006.06",974.23,0.40M,3.81%
11/25/2022,967.49,948.66,967.49,947.56,0.17M,2.84%
11/24/2022,940.76,932.69,941.69,925.55,0.14M,0.22%
11/23/2022,938.73,939.08,951.86,933.26,0.15M,-0.72%
11/22/2022,945.54,956.31,985.18,941.85,0.37M,-1.19%
11/21/2022,956.89,970.64,972.15,951.62,0.13M,-1.47%
11/18/2022,971.2,967.82,977.19,941.18,0.26M,0.02%
11/17/2022,971.04,941.77,975.42,941.77,0.18M,3.27%
11/16/2022,940.29,878.24,942.56,863.31,0.25M,3.93%
11/15/2022,904.77,923.2,927.37,893.49,0.22M,-3.37%
11/14/2022,936.31,945.97,945.97,913.5,0.21M,-1.32%
11/11/2022,948.86,946.68,963.55,941.84,0.21M,1.29%
11/10/2022,936.8,969.79,969.79,925.02,0.25M,-4.38%
11/9/2022,979.68,980.92,993.28,969.19,0.17M,-0.04%
11/8/2022,980.09,957.88,981.51,950.81,0.19M,0.74%
11/7/2022,972.85,992.4,999.43,968.84,0.18M,-2.51%
11/4/2022,997.92,"1,006.52","1,009.00",971.72,0.26M,-2.53%
