Date,Close,Open,High,Low,Volumn,Percent Change
25/11/2022,967.49,948.66,967.49,947.56,170888500,2.84%
24/11/2022,940.76,932.69,941.69,925.55,136323900,0.22%
23/11/2022,938.73,939.08,951.86,933.26,154603600,-0.72%
22/11/2022,945.54,956.31,985.18,941.85,368681000,-1.19%
21/11/2022,956.89,970.64,972.15,951.62,132087900,-1.47%
18/11/2022,971.2,967.82,977.19,941.18,264087200,0.02%
17/11/2022,971.04,941.77,975.42,941.77,184689400,3.27%
16/11/2022,940.29,878.24,942.56,863.31,249949000,3.93%
15/11/2022,904.77,923.2,927.37,893.49,218103000,-3.37%
14/11/2022,936.31,945.97,945.97,913.5,211967900,-1.32%
11/11/2022,948.86,946.68,963.55,941.84,213492300,1.29%
10/11/2022,936.8,969.79,969.79,925.02,252587000,-4.38%
9/11/2022,979.68,980.92,993.28,969.19,166478600,-0.04%
8/11/2022,980.09,957.88,981.51,950.81,185773700,0.74%
7/11/2022,972.85,992.4,999.43,968.84,179097800,-2.51%
4/11/2022,997.92,"1,006.52","1,009.00",971.72,256472300,-2.53%
3/11/2022,"1,023.80","1,012.90","1,029.53","1,010.57",120449100,-0.13%
2/11/2022,"1,025.18","1,037.47","1,039.42","1,020.48",167911600,-1.24%
1/11/2022,"1,038.09","1,028.23","1,049.77","1,028.23",243894300,1.10%
31/10/2022,"1,026.84","1,027.57","1,031.66",999.47,188840700,-0.26%
28/10/2022,"1,029.49","1,036.94","1,046.04","1,024.74",147687400,0.10%
27/10/2022,"1,028.50",992.95,"1,028.50",986.54,159809500,3.85%
26/10/2022,990.41,995.73,999.59,979.4,39043900,-0.11%
25/10/2022,991.52,971.29,"1,006.69",950.19,7850100,1.81%
24/10/2022,973.88,"1,011.54","1,013.24",961.79,38499800,-3.63%
21/10/2022,"1,010.57","1,055.34","1,055.34","1,002.09",193757000,-4.05%
20/10/2022,"1,053.26","1,049.96","1,060.79","1,041.08",113705500,-0.04%
19/10/2022,"1,053.65","1,061.12","1,062.27","1,044.69",102622000,-0.51%
18/10/2022,"1,059.06","1,061.06","1,068.90","1,051.85",120839700,1.13%
17/10/2022,"1,047.20","1,051.23","1,051.42","1,028.34",117602900,-1.34%
14/10/2022,"1,061.39","1,068.63","1,070.30","1,054.82",148450300,0.97%
13/10/2022,"1,051.24","1,034.20","1,051.24","1,020.97",127128600,1.58%
12/10/2022,"1,034.93","1,004.53","1,039.33",999,150966500,3.32%
11/10/2022,"1,001.68","1,031.12","1,031.12",987.27,200927800,-3.59%
10/10/2022,"1,038.93","1,025.48","1,052.24","1,011.44",178313500,-0.06%
7/10/2022,"1,039.54","1,064.72","1,067.03","1,027.64",261705900,-3.87%
6/10/2022,"1,081.36","1,117.70","1,119.76","1,079.75",141259300,-3.22%
5/10/2022,"1,117.38","1,114.60","1,128.94","1,112.26",114403700,1.79%
4/10/2022,"1,097.72","1,113.80","1,117.87","1,088.41",147867000,-0.39%
3/10/2022,"1,102.00","1,141.87","1,144.95","1,094.49",159888000,-4.34%
30/09/2022,"1,152.01","1,140.18","1,158.20","1,128.57",154777200,0.40%
29/09/2022,"1,147.44","1,166.59","1,177.21","1,147.44",88046900,-1.14%
28/09/2022,"1,160.66","1,173.82","1,177.58","1,160.66",92268300,-1.84%
27/09/2022,"1,182.46","1,190.46","1,193.79","1,181.43",85342600,-0.40%
26/09/2022,"1,187.22","1,199.39","1,201.89","1,172.37",175236400,-2.32%
23/09/2022,"1,215.41","1,227.34","1,230.72","1,213.74",88494000,-1.10%
22/09/2022,"1,228.94","1,217.63","1,229.26","1,210.65",98659200,0.06%
21/09/2022,"1,228.20","1,235.84","1,236.05","1,223.02",76490900,-1.04%
20/09/2022,"1,241.07","1,235.93","1,241.07","1,224.96",94432100,0.91%
19/09/2022,"1,229.88","1,251.43","1,253.45","1,225.18",152498300,-1.83%
16/09/2022,"1,252.78","1,259.90","1,263.97","1,248.13",77523300,-0.80%
15/09/2022,"1,262.82","1,267.24","1,269.54","1,260.51",101057100,0.15%
14/09/2022,"1,260.88","1,254.44","1,262.80","1,250.98",142289600,-0.91%
13/09/2022,"1,272.48","1,277.48","1,279.55","1,271.22",94065400,-0.24%
